Path,Sample,ReferenceGenome,Outgroup
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.ANT3i_CMCC64001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.ANT3j_H1959004,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.ANT3k_5761,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.ANT3l_735,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED1b_2506,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED1c_2654,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED1d_2504,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED2b_91,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED2c_K11973002,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED2d_A1973001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED2e_7338,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED3a_J1963002,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED3b_CMCC125002b,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED3c_I1969003,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED3d_J1978002,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED3f_I1970005,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED3g_CMCC99103,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED3h_CMCC90027,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED3i_CMCC92004,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED3j_I2001001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED3k_CMCC12003,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED3l_I1994006,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED3m_SHAN11,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED3n_SHAN12,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED3o_I1991001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,2.MED3p_CMCC107004,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,3.ANT1a_7b,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,3.ANT1b_CMCC71001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,3.ANT1c_C1976001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,3.ANT1d_71021,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,3.ANT2a_MGJZ6,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,3.ANT2b_MGJZ7,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,3.ANT2c_MGJZ9,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,3.ANT2d_MGJZ11,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,3.ANT2e_MGJZ3,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,4.ANT1a_MGJZ12,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,6Post,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,AE1175,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,ARS007,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,Barcelona_3031,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,BED024.A0102,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,BED028.A0102,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,BED030.A0102,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,BED034.A0102,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,Bolgar_2370,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,BRA001.A0101,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,C10091,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,C10098,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,C10928,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,CHC004,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,DSH008,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,DSH025,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,EDI001.A,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,Ellwangen_549_O,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,ES_11972,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,ES_8291,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,GEN72,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,GLZ001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,GLZ002,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,Gok2,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,GRH001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,GRS004,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,Gyvakarai1,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,HGC009,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,HGC068,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,HOP001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,HOP004,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,I2470,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,I5884,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,KLE031,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,KLE048,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,KLZ001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,KNK001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,KunilaII,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,KZL002,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,LAI009.A0101,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,MAN008.B0101,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,MIB054,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,NMS002.A0101,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,OBS107,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,OBS110,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,OBS116,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,OBS124,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,OBS137,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,OOH003,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,RISE505,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,RISE509,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,RK1001,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,RT5,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,RT6,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,RV2039,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,STA001.A0101,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,STN002.A0101,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,STN007.A0101,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,STN008.A0101,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,STN014.A0101,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,STN019.A0101,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,STN020.A0101,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,STN021.A0101,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,VEL003,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,VLI092,Ypestis_ASM906v1,0
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,YAC,Ypestis_ASM906v1,1
/raven/ptmp/iclight/snakemake/pestis_production_run_minoraf_update_30_04_2024/mapping,ARK017,Ypestis_ASM906v1,0
